Name,State,decimalLatitude,decimalLongitude,year
Pinus rigida,Maryland,39.177045,-76.959818,2017
Pinus rigida,Maryland,39.020881,-76.845653,2017
Pinus rigida,New Jersey,41.09423,-74.921436,2017
Pinus rigida,New Jersey,40.441146,-74.265545,2017
Pinus rigida,New Jersey,40.442154,-74.261549,2017
Pinus rigida,Pennsylvania,39.734807,-76.03833,2017
Pinus rigida,Massachusetts,42.732467,-70.788708,2017
Pinus rigida,New York,42.720463,-73.872918,2017
Pinus rigida,Maryland,39.020288,-76.777313,2017
Pinus rigida,Maryland,38.98196,-76.898548,2017
Pinus rigida,Maryland,39.047733,-76.940872,2017
Pinus rigida,West Virginia,39.337578,-78.497392,2017
Pinus rigida,Maryland,39.068458,-76.878045,2017
Pinus rigida,Massachusetts,42.293849,-71.301741,2017
Pinus rigida,Massachusetts,42.569138,-72.51852,2017
Pinus rigida,Massachusetts,42.115247,-70.713098,2017
Pinus rigida,Virginia,38.449495,-78.465522,2017
Pinus rigida,Massachusetts,42.059219,-70.140519,2017
Pinus rigida,Maine,44.328236,-68.184616,2017
Pinus rigida,Massachusetts,41.733045,-70.121855,2017
Pinus rigida,Massachusetts,41.732613,-70.122505,2017
Pinus rigida,Massachusetts,41.829531,-70.649235,2017
Pinus rigida,Massachusetts,42.073892,-70.163314,2017
Pinus rigida,North Carolina,35.083628,-83.618027,2017
Pinus rigida,Tennessee,35.677903,-83.430305,2017
Pinus rigida,Tennessee,35.678958,-83.477295,2017
Pinus rigida,Tennessee,35.679623,-83.478243,2017
Pinus rigida,Massachusetts,41.337361,-70.304733,2017
Pinus rigida,Massachusetts,41.336444,-70.303725,2017
Pinus rigida,Massachusetts,41.33725,-70.304725,2017
Pinus rigida,North Carolina,35.362355,-82.827575,2017
Pinus rigida,Maryland,39.037018,-76.934007,2017
Pinus rigida,Ohio,41.424656,-81.590443,2017
Pinus rigida,Massachusetts,41.85835,-70.662982,2017
Pinus rigida,Vermont,44.54495,-73.283327,2017
Pinus rigida,Maine,44.380656,-68.06329,2017
Pinus rigida,Massachusetts,42.455581,-71.443514,2017
Pinus rigida,Pennsylvania,40.005154,-77.372986,2017
Pinus rigida,Virginia,37.977587,-78.987822,2017
Pinus rigida,Maine,44.311903,-68.345084,2017
Pinus rigida,Maine,44.353992,-68.225542,2017
Pinus rigida,New Jersey,39.950644,-74.495113,2017
Pinus rigida,Maryland,39.002786,-76.935992,2017
Pinus rigida,Pennsylvania,40.792728,-75.364237,2017
Pinus rigida,Massachusetts,42.363455,-71.251726,2017
Pinus rigida,North Carolina,35.465668,-83.433995,2017
Pinus rigida,New Jersey,39.797274,-74.559264,2017
Pinus rigida,Virginia,38.862425,-78.327949,2017
Pinus rigida,New York,40.54352,-74.226853,2017
Pinus rigida,Massachusetts,42.366314,-71.255233,2017
Pinus rigida,District of Columbia,38.949971,-77.006233,2017
Pinus rigida,West Virginia,38.069966,-81.078448,2017
Pinus rigida,Massachusetts,42.212319,-71.114528,2017
Pinus rigida,Massachusetts,42.470614,-71.165687,2017
Pinus rigida,New Jersey,39.752846,-74.272034,2017
Pinus rigida,Massachusetts,42.435879,-71.138004,2017
Pinus rigida,New Jersey,39.929003,-74.214427,2017
Pinus rigida,Maryland,39.191969,-76.719278,2017
Pinus rigida,Massachusetts,42.732383,-70.789292,2017
Pinus rigida,New Jersey,40.055292,-74.165193,2017
Pinus rigida,Maryland,39.012866,-76.957628,2017
Pinus rigida,Maryland,39.014609,-76.954395,2017
Pinus rigida,Maryland,38.942789,-76.695494,2017
Pinus rigida,New Jersey,40.379627,-74.338796,2017
Pinus rigida,New Jersey,40.378352,-74.348173,2017
Pinus rigida,New Jersey,40.379627,-74.338796,2017
Pinus rigida,Maryland,39.012906,-76.912213,2017
Pinus rigida,Maryland,39.042951,-76.798782,2017
Pinus rigida,Maryland,39.027875,-76.762792,2017
Pinus rigida,Massachusetts,42.426704,-72.408192,2018
Pinus rigida,Massachusetts,42.569721,-72.537445,2018
Pinus rigida,Connecticut,41.462521,-71.945488,2018
Pinus rigida,Massachusetts,41.999855,-70.078353,2018
Pinus rigida,North Carolina,35.166517,-83.03595,2018
Pinus rigida,North Carolina,35.085617,-83.615662,2018
Pinus rigida,New York,40.90487,-72.672713,2018
Pinus rigida,New York,42.959792,-76.939641,2018
Pinus rigida,New Jersey,40.619946,-74.850865,2018
Pinus rigida,Pennsylvania,40.060647,-77.292442,2018
Pinus rigida,Pennsylvania,40.126039,-77.094102,2018
Pinus rigida,New Jersey,40.436613,-74.271509,2018
Pinus rigida,Connecticut,41.286228,-72.92498,2018
Pinus rigida,Maine,44.338556,-68.273335,2018
Pinus rigida,New Jersey,39.246663,-74.856203,2018
Pinus rigida,Massachusetts,41.758153,-70.016347,2018
Pinus rigida,Massachusetts,41.912668,-69.97345,2018
Pinus rigida,New York,42.717941,-73.860863,2018
Pinus rigida,New Jersey,39.83022,-74.990764,2018
Pinus rigida,New Jersey,39.830257,-74.990743,2018
Pinus rigida,New Jersey,39.829729,-74.991056,2018
Pinus rigida,New York,40.62953,-73.225037,2018
Pinus rigida,New York,40.628863,-73.227037,2018
Pinus rigida,New Jersey,39.625332,-74.432547,2018
Pinus rigida,Massachusetts,42.683063,-70.761637,2018
Pinus rigida,New York,43.207987,-77.622474,2018
Pinus rigida,Massachusetts,41.29619,-70.040027,2018
Pinus rigida,Massachusetts,42.30676,-71.099618,2018
Pinus rigida,Massachusetts,42.779707,-70.808088,2018
Pinus rigida,New York,42.718281,-73.863098,2018
Pinus rigida,Massachusetts,41.624138,-70.535843,2018
Pinus rigida,Massachusetts,41.883037,-69.995366,2018
Pinus rigida,Massachusetts,41.915514,-70.570141,2018
Pinus rigida,Massachusetts,41.962064,-70.071669,2018
Pinus rigida,Maine,43.33319,-70.542448,2018
Pinus rigida,West Virginia,38.952622,-79.26265,2018
Pinus rigida,Massachusetts,42.642874,-70.700074,2018
Pinus rigida,Massachusetts,41.882516,-69.996451,2018
Pinus rigida,Maryland,39.415428,-77.208214,2018
Pinus rigida,Vermont,42.743966,-72.500365,2018
Pinus rigida,Massachusetts,42.069595,-70.192912,2018
Pinus rigida,Massachusetts,41.880789,-69.996567,2018
Pinus rigida,Maine,43.644751,-70.273159,2018
Pinus rigida,Maine,43.645416,-70.276112,2018
Pinus rigida,Massachusetts,41.883178,-69.996472,2018
Pinus rigida,Vermont,44.497779,-73.246727,2018
Pinus rigida,New York,42.16925,-74.051217,2018
Pinus rigida,Maine,44.329441,-68.183975,2018
Pinus rigida,Massachusetts,41.635578,-70.568512,2018
Pinus rigida,Maine,44.526507,-68.151829,2018
Pinus rigida,New York,42.717908,-73.861684,2018
Pinus rigida,New York,42.728321,-73.875937,2018
Pinus rigida,Massachusetts,41.440762,-70.569933,2018
Pinus rigida,Virginia,38.947127,-78.31633,2018
Pinus rigida,New York,41.64647,-74.41337,2018
Pinus rigida,Maine,44.231592,-68.315132,2018
Pinus rigida,Maine,44.327324,-68.294581,2018
Pinus rigida,New Hampshire,42.856775,-72.523745,2018
Pinus rigida,Maine,44.328425,-68.178694,2018
Pinus rigida,New Jersey,39.895145,-74.55378,2018
Pinus rigida,Maine,43.545151,-70.475752,2018
