gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2576347472	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39377165	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.074903	-70.212853	7.0						2020-02-27T11:59:54Z	27	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39377165			2020-02-29T23:53:14Z	CC_BY_NC_4_0	ssen	ssen			2020-03-16T20:25:36.557Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576309733	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39335081	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.669948	-72.534726							2020-02-28T12:47:13Z	28	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39335081			2020-02-29T01:06:23Z	CC0_1_0	mikeakresh	mikeakresh			2020-03-16T20:25:24.075Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576307839	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39376127	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.278294	-72.213608	8.0						2020-02-29T16:14:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39376127			2020-02-29T23:28:43Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:28.627Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576305898	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39380703	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.264635	-72.224584	15.0						2020-02-29T18:27:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39380703			2020-03-01T01:10:24Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:26.171Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576295844	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39376277	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.27957	-72.213254	8.0						2020-02-29T16:15:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39376277			2020-02-29T23:32:16Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:25:47.656Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576295257	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38077568	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.904781	-70.572818	19.0						2020-01-11T13:28:00Z	11	1	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	38077568			2020-01-29T02:33:08Z	CC_BY_NC_4_0	Alex W.	Alex W.			2020-03-16T20:25:38.118Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576292850	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39375744	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.280587	-72.213259	8.0						2020-02-29T16:01:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39375744			2020-02-29T23:19:54Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:25:41.397Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576287442	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39222237	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		New Jersey			28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.680047	-74.392136	4.0						2020-02-25T10:39:00Z	25	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39222237			2020-02-25T22:48:49Z	CC_BY_NC_4_0	Edward J Norton	Edward J Norton			2020-03-16T20:25:25.109Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576286596	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39286534	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		New Jersey			28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.439414	-74.270877							2020-02-27T09:21:00Z	27	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39286534			2020-02-27T19:04:52Z	CC_BY_NC_4_0	Edward J Norton	Edward J Norton			2020-03-16T20:25:29.065Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576282816	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39377329	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.266981	-72.222796	4.0						2020-02-29T16:57:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39377329			2020-02-29T23:56:01Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:31.568Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
